#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,module
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T08:10:00Z,24.800000000000004,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T08:20:00Z,24.85523809523812,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T08:30:00Z,24.984905660377372,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T08:40:00Z,25.050476190476136,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T08:50:00Z,24.89811320754722,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T09:00:00Z,24.646666666666626,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T09:10:00Z,24.59999999999995,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T09:20:00Z,24.52095238095237,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T09:30:00Z,24.59999999999995,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T09:40:00Z,24.516981132075482,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T09:50:00Z,24.721904761904803,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T10:00:00Z,24.89905660377363,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T10:10:00Z,25.030476190476154,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T10:20:00Z,24.98113207547175,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T10:30:00Z,25.5895238095238,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T10:40:00Z,24.848113207547158,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T10:50:00Z,24.379047619047654,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T11:00:00Z,24.21809523809523,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T11:10:00Z,24.235849056603822,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T11:20:00Z,24.399047619047668,temperature,state,3138470D333731320078767D
,,0,2021-06-30T08:09:05.450289872Z,2021-07-02T08:09:05.450289872Z,2021-06-30T11:30:00Z,24.44622641509435,temperature,state,3138470D333731320078767D
